"source","text","id","line_value","line_var","type"
"SIMULATED_2024_Phoenix_AZ","And that is the picture tonight in Phoenix: a fast-growing state, a national campaign, a crowd that wants to hear about the economy, the border, security, energy, and the direction of the country. Those are the issues, those are the arguments, and those are the questions that define the rally.",12,1,NA,"simulated"
"SIMULATED_2024_Grand_Rapids_MI","Thank you very much, Grand Rapids. What a crowd. Michigan always has tremendous energy, and when you come here you immediately hear about cars, factories, wages, plants, suppliers, and what it means to make things in America. It is part economics and part identity.",13,5,0.707106781186548,"simulated"
"SIMULATED_2024_Grand_Rapids_MI","Then you get into automobiles. Gasoline cars, electric cars, batteries, charging, suppliers, regulations, trade, all of it becomes one giant argument. Some people want a fast transition, some want a slower transition, and some people mostly want to know whether their job will still exist when the transition is over.",15,1,NA,"simulated"
"SIMULATED_2024_Grand_Rapids_MI","Trade comes into it because Michigan has lived through every version of the trade argument. Imports, exports, tariffs, supply chains, foreign factories, domestic factories. The language changes from year to year, but the central question is always the same: who gains when production moves, and who pays when it leaves?",16,2,NA,"simulated"
"SIMULATED_2024_Grand_Rapids_MI","You have the crowd interruption. Somebody shouts something, the speaker stops, everybody looks over, there is a joke, a little back-and-forth, and suddenly the formal speech disappears for a minute. That unpredictability is part of the rally form. The audience is not just listening; it becomes part of the performance.",18,-2,1.73205080756888,"simulated"
"SIMULATED_2024_Grand_Rapids_MI","Then the border comes up even though Michigan is far from the southern border. That tells you something about national campaign rhetoric. Certain topics travel everywhere. They are not only local problems; they become symbols. The border stands for enforcement, capacity, sovereignty, and whether the federal government can maintain a system.",19,-1,2.12132034355964,"simulated"
"SIMULATED_2024_Grand_Rapids_MI","The speech moves back to Michigan with factories and labor. Skilled trades, assembly plants, suppliers, logistics, trucking, steel, construction. There is always a long list because a long list creates the feeling of a whole productive world being named one occupation at a time.",20,1,NA,"simulated"
"SIMULATED_2024_Grand_Rapids_MI","Then come the political opponents, but in this research simulation they remain generic. The structure is familiar: one side is described as too slow, too ideological, too bureaucratic, or too disconnected; the other side is described as promising competence and control. The names change, but the contrast stays stable.",22,2,NA,"simulated"
"SIMULATED_2024_Grand_Rapids_MI","Near the end, the speech gets faster. Cars, factories, prices, trade, borders, wars, energy, roads. A subject that received five minutes earlier may now receive one sentence. This compression tells the audience what the speaker wants remembered when the event is over.",23,-2,NA,"simulated"
"SIMULATED_2024_Grand_Rapids_MI","And that is Michigan: manufacturing as economics, manufacturing as culture, manufacturing as national strategy. The rally begins local, expands into a national argument, and then returns to the state before the close.",24,1,NA,"simulated"
"SIMULATED_2024_Harrisburg_PA","Thank you very much, Harrisburg. Pennsylvania is always at the center of the political map. You have cities, small towns, farms, factories, energy, universities, old industrial communities, new technology, everything in one state. That makes it a perfect place for a national stump speech.",25,5,0.707106781186548,"simulated"
"SIMULATED_2024_Harrisburg_PA","You start with energy because people here know energy is not an abstraction. Natural gas, electricity, pipelines, drilling, power plants, transmission, all of it means jobs and prices. People may disagree about the right mix, but nobody disagrees that energy policy reaches directly into the economy.",26,2,0,"simulated"
"SIMULATED_2024_Harrisburg_PA","Then you move from energy to inflation. The grocery bill. The utility bill. The mortgage. The rent. The car payment. The insurance payment. One after another, because the rhetorical force comes from accumulation. You do not need one enormous expense if every ordinary expense is moving in the wrong direction.",27,-2,NA,"simulated"
"SIMULATED_2024_Harrisburg_PA","From there the rally turns to the border. It seems like a jump, but stump speeches work through recurring national symbols rather than neat policy categories. The border becomes a question about whether rules are enforced consistently and whether administrative systems can handle the scale of the task.",29,2,NA,"simulated"
"SIMULATED_2024_Harrisburg_PA","The speaker then attacks bureaucracy in general terms. Too many forms, too many agencies, too much delay, too many decisions that nobody can explain. Whether the issue is energy permits, immigration hearings, business regulation, or infrastructure, the criticism is presented as the same problem appearing in different offices.",30,-6,0.577350269189626,"simulated"
"SIMULATED_2024_Harrisburg_PA","Foreign policy arrives late. Europe, Asia, alliances, war, weapons, trade, diplomacy. The sequence moves fast because the purpose is not to teach international relations. The purpose is to create a contrast between order and disorder and to connect international events back to domestic perceptions of leadership.",32,-4,0,"simulated"
"SIMULATED_2024_Harrisburg_PA","The speech then circles back to institutions. Courts, agencies, elections, schools, police, public administration. The common theme is predictability. People want to know what the rules are, whether the rules will be enforced, and whether the institutions can do what they are supposed to do.",34,1,NA,"simulated"
"SIMULATED_2024_Harrisburg_PA","At the end the themes collapse together. Energy means prices. Prices mean household confidence. Manufacturing means jobs. The border means administrative control. Foreign policy means stability. Public order means trust. Separate issues become pieces of one story.",35,1,2.08166599946613,"simulated"
"SIMULATED_2024_Greensboro_NC","Thank you very much, Greensboro. North Carolina is growing fast, changing fast, and every time you come back there is another development, another road, another business, another neighborhood. Growth creates opportunity, but it also creates pressure, and politics starts when people argue about whether the system is keeping up.",37,6,1.30384048104053,"simulated"
"SIMULATED_2024_Greensboro_NC","The first thing people talk about is cost. Food, housing, insurance, electricity, transportation. People know their own numbers. They know what they paid two years ago and what they pay now. A national statistic can say one thing, but the kitchen-table number is the one people remember.",38,-1,NA,"simulated"
"SIMULATED_2024_Greensboro_NC","Then you talk about small business. The restaurant, the contractor, the shop, the farm, the logistics company, the manufacturer. Small businesses experience government through taxes, permits, labor costs, insurance, borrowing, and demand. They do not experience it as a single policy.",39,-1,NA,"simulated"
"SIMULATED_2024_Greensboro_NC","North Carolina also gives you manufacturing. Furniture, textiles, pharmaceuticals, technology, food processing, aerospace, all kinds of production. The old industries and the new industries sit next to each other, and that lets a rally speech tell a story about change without pretending the economy stands still.",40,-1,NA,"simulated"
"SIMULATED_2024_Greensboro_NC","The border appears because it appears everywhere in the national stump speech. It becomes a shorthand for enforcement and capacity. The crowd already knows the argument before the paragraph starts, which is why the speaker can use shorter sentences and more repetition here than in an economic section.",41,-2,NA,"simulated"
"SIMULATED_2024_Greensboro_NC","Then there is crime. Not as a table of numbers, but as a question of whether people feel that public spaces are orderly and whether institutions respond when something goes wrong. Rally rhetoric often treats perception itself as politically significant because voters act on what they experience locally.",42,-4,2.08166599946613,"simulated"
"SIMULATED_2024_Greensboro_NC","Then it moves overseas. War, alliances, military bases, defense spending, diplomacy. North Carolina has a large military presence, so foreign policy can be connected back to local communities through service members, families, installations, and defense industries.",44,-2,NA,"simulated"
"SIMULATED_2024_Greensboro_NC","The speaker returns to growth. Roads, schools, housing, electricity, water, hospitals. Rapid growth is good until every system becomes crowded, and then the political question becomes whether government planned for the growth or merely reacted after it arrived.",45,5,0.707106781186548,"simulated"
"SIMULATED_2024_Greensboro_NC","The closing sequence begins by repeating what has already been said. Prices. Jobs. Borders. Crime. War. Energy. Infrastructure. The repetition is deliberate. A stump speech is not a lecture where every point appears once. It is a loop designed to reinforce a small number of themes.",46,-5,0.707106781186548,"simulated"
"SIMULATED_2024_Greensboro_NC","Then the tone becomes broader. The argument is no longer about one bill or one agency. It is about whether the country feels competent, prosperous, secure, and confident. That move from specific complaint to national mood is one of the defining structures of rally rhetoric.",47,8,1.51657508881031,"simulated"
"SIMULATED_2024_Greensboro_NC","And that is the Greensboro version of the stump speech: local growth at the beginning, national grievances in the middle, foreign affairs and institutions later, and then a compressed return to everything the audience has already heard.",48,2,NA,"simulated"
"SIMULATED_2024_Las_Vegas_NV","Thank you very much, Las Vegas. Nevada knows crowds, and this is a serious crowd. People work strange hours here, they work nights, they work weekends, they work when everybody else is on vacation, and that makes the economy feel different from a lot of other places.",49,1,2.12132034355964,"simulated"
"SIMULATED_2024_Las_Vegas_NV","So you start with service workers. Hotels, restaurants, casinos, entertainment, transportation, conventions, construction. A huge part of the local economy depends on people spending money, traveling, eating out, staying an extra night, buying another ticket.",50,1,NA,"simulated"
"SIMULATED_2024_Las_Vegas_NV","Then the speech goes directly to prices because tourism is sensitive to prices. Airfare, gasoline, hotel rooms, food, interest rates. If every part of a trip costs more, families change their plans. If families change their plans, workers and businesses feel it.",51,1,NA,"simulated"
"SIMULATED_2024_Las_Vegas_NV","Housing is the next issue. Las Vegas grew quickly, and rapid growth produces a housing argument almost automatically. Rent, mortgages, new construction, land, insurance, infrastructure. Everyone has a theory about why it costs more, but everyone agrees that it matters.",52,4,0.577350269189626,"simulated"
"SIMULATED_2024_Las_Vegas_NV","Then comes the border. Nevada is in the Southwest, so the transition feels geographically natural. Immigration, enforcement, work, legal status, cities, federal agencies. The issue becomes a test of whether a complicated national system can operate at scale without appearing chaotic.",53,0,1.73205080756888,"simulated"
"SIMULATED_2024_Las_Vegas_NV","Water and energy follow. In the West these subjects are unavoidable. Growth needs electricity. Growth needs water. New industries need both. Housing needs both. Tourism needs both. And once again a local resource question becomes a national argument about planning.",54,2,NA,"simulated"
"SIMULATED_2024_Las_Vegas_NV","There is a digression. Somebody in the audience gets recognized. The speaker remembers another rally, another hotel, another election, another person. The story goes on longer than expected, then suddenly ends with a sentence that reconnects it to the economy.",55,-2,NA,"simulated"
"SIMULATED_2024_Las_Vegas_NV","Foreign policy comes in through trade and security. China, Europe, the Middle East, shipping, energy, military commitments. The subjects move quickly, but the underlying frame stays constant: international instability eventually reaches people at home through prices, markets, or security concerns.",57,1,NA,"simulated"
"SIMULATED_2024_Las_Vegas_NV","The final run is fast. Prices, housing, borders, water, energy, war, trade, government competence. The sentences get shorter and the subjects arrive more quickly, because the close is about recall rather than explanation.",59,-4,0,"simulated"
